Commentry,Over,Score,Sentiment
"Malinga to Lynn, no run, slower ball, short and wide, bludgeoned straight to cover point on the up ",3.3,0,0.899621
"Malinga to Lynn, 1 wide, looks for the slower ball yorker, misses his line again, down the leg side and through to Parthiv ",0.5,1w,0.89384
"McClenaghan to Lynn, no run, loud appeal in excitement of beating the batsman. Good length, pitching outside leg and goes straight through and under his attempted slog. Well away from the bat but bowler and keeper appeal ",1.3,0,0.882349
"Bumrah to Pathan, no run, full at off stump, defended solidly off the front foot, straight to mid-off Only 19 of Lynn's 125 runs so far this season have come behind the wicket. A good guy to get out before the middle overs, clearly. ",7.6,0,0.855577
"Malinga to Pandey, 2 runs, full at leg stump, whips it nicely, wide of deep midwicket who fumbles and allows a second ",18.4,2,0.846791
"Harbhajan Singh to Yadav, FOUR runs, superb from Yadav. Flat at a good length outside off, barely moves his feet for this. Exposes the stumps and chops it past short third man ",14.6,4,0.846735
"Bumrah to Pandey, 1 run, back of a length slower ball at off stump, backs away and slices it to third man Abad: &quot;I Heard these days narine can strike ball very well and I guess he deserves a promotion to showcase his new talent. what do you think?&quot; --- I don't see him coming ahead of Woakes.... ",15.3,1,0.836213
"Bumrah to Lynn, no run, another yorker outside off stump, this is a slower ball. He gets bat, but can only dig it out along the pitch and back to the bowler ",2.2,0,0.835644
"Pandya to Pandey, 2 runs, back of a length outside off, waits late and cuts it past point who gets a hand to slow it down as sweeper approaches it ",9.1,2,0.828434
"Malinga to Woakes, 2 runs, slower ball at middle stump, not in control as he looks to work this into the leg side, but only manages to chip it over the umpire ",16.4,2,0.823693
"Pandya to Yadav, 1 run, back of a length at off stump, goes deep in the crease and whips it to deep midwicket off the back foot ",11.6,1,0.819927
"Malinga to Lynn, 1 wide, goes for the yorker at leg stump, no movement this time and this goes down the leg ",0.2,1w,0.807699
"Harbhajan Singh to Yadav, 1 run, short and wide outside off, late cut, can't get it past short third man ",12.6,1,0.80569
"Bumrah to Woakes, 2 runs, full toss at off stump, opens the face to find the square boundary on the off side. Short third man does phenomenally to dive to his right to save a four. Then throws unnecessarily to concede an overthrow to deep midwicet. McCleneghan there ",17.5,2,0.804662
"Pandya to Pathan, OUT, beautiful bowling. Loops it up again, good length at off. Pathan has had enough scratching around. Bounces down the track, doesn't get to the pitch and slices this to long-off's left, and it's brother Hardik under it again ",11.4,W,0.801067
"Malinga to Lynn, 1 run, and changes length. Good length, slower ball at off stump. Lynn is through the slog early, gets it off the bottom to square leg who has a shy and misses at the non-striker's ",3.1,1,0.795724
"Malinga to Gambhir, 1 run, good length, swinging in at middle stump, watches it closely and taps it late to short fine leg ",3.2,1,0.791159
"Malinga to Woakes, OUT, slower length at middle stump, gets under it but can't generate power. Finds Pollard as he tries to slot this over long-on on the up ",18.1,W,0.785212
"Malinga to Gambhir, 1 run, in the blockhole outside off, slices this to Bumrah at third man who fumbles, but won't pay a price for it ",0.4,1,0.784406
"Harbhajan Singh to Yadav, FOUR runs, what a shot. Flat at a length outside off, it's like he's playing a pacer against the new ball - half a stride and drives it on the up to beat long-off to his left ",14.2,4,0.783551
"Harbhajan Singh to Yadav, 1 run, fired flat at leg stump, good length, pushes it past the bowler's right. He gets across but loses the ball as he falls down and they can take a single ",14.4,1,0.774033
"McClenaghan to Pandey, 1 leg bye, back of a length, angled in at the legs and catches the thigh guard, through to short fine as he misses out on the glance over the wicket ",5.1,1lb,0.768308
"Malinga to Yadav, OUT, slower ball, full at leg stump, he wants to whip this wide of long-on but the pace throws him off. He lobs it straight to Pollard, who barely has to move at long-on ",16.1,W,0.755588
"KH Pandya to Uthappa, OUT, and he's gotta go back! Good length at off stump, he doesn't poke at this because slip has come in. Goes for the slog sweep instead. Not to the pitch of this, slices it at a nice height for Hardik at deep midwicket and the Pandya household can't be prouder ",4.5,W,0.754469
"Malinga to Lynn, SIX, he likes this length. Just short of a good length, slower ball that he's expecting. Stands tall, waits for it and slaps it 91 metres into the stands at the square leg boundary ",3.4,6,0.744202
"Malinga to Pandey, 1 run, slower ball, good length at off stump, walks into the shot as he whips this wide of long-on on the up ",18.2,1,0.742252
"Malinga to Gambhir, no run, overpitched, swinging in at off stump, driven firmly to mid-on ",0.3,0,0.727854
